outer_fold,candidate_index,parameters_json,inner_fold,rmsle
1,14,"{""l2_regularization"":0.0,""learning_rate"":0.03,""max_iter"":500,""max_leaf_nodes"":15,""min_samples_leaf"":20,""random_state"":20240920}",1,0.10937563795
1,14,"{""l2_regularization"":0.0,""learning_rate"":0.03,""max_iter"":500,""max_leaf_nodes"":15,""min_samples_leaf"":20,""random_state"":20240920}",2,0.104875655565
1,14,"{""l2_regularization"":0.0,""learning_rate"":0.03,""max_iter"":500,""max_leaf_nodes"":15,""min_samples_leaf"":20,""random_state"":20240920}",mean,0.107331794615
1,15,"{""l2_regularization"":0.0,""learning_rate"":0.1,""max_iter"":500,""max_leaf_nodes"":31,""min_samples_leaf"":20,""random_state"":20240920}",0,0.0931068958422
1,15,"{""l2_regularization"":0.0,""learning_rate"":0.1,""max_iter"":500,""max_leaf_nodes"":31,""min_samples_leaf"":20,""random_state"":20240920}",1,0.0936597016486
1,15,"{""l2_regularization"":0.0,""learning_rate"":0.1,""max_iter"":500,""max_leaf_nodes"":31,""min_samples_leaf"":20,""random_state"":20240920}",2,0.0846668390248
1,15,"{""l2_regularization"":0.0,""learning_rate"":0.1,""max_iter"":500,""max_leaf_nodes"":31,""min_samples_leaf"":20,""random_state"":20240920}",mean,0.0904778121719
1,16,"{""l2_regularization"":1.0,""learning_rate"":0.1,""max_iter"":500,""max_leaf_nodes"":15,""min_samples_leaf"":20,""random_state"":20240920}",0,0.0918440622364
1,16,"{""l2_regularization"":1.0,""learning_rate"":0.1,""max_iter"":500,""max_leaf_nodes"":15,""min_samples_leaf"":20,""random_state"":20240920}",1,0.0921707894405
1,16,"{""l2_regularization"":1.0,""learning_rate"":0.1,""max_iter"":500,""max_leaf_nodes"":15,""min_samples_leaf"":20,""random_state"":20240920}",2,0.087957863501
1,16,"{""l2_regularization"":1.0,""learning_rate"":0.1,""max_iter"":500,""max_leaf_nodes"":15,""min_samples_leaf"":20,""random_state"":20240920}",mean,0.090657571726
1,17,"{""l2_regularization"":1.0,""learning_rate"":0.06,""max_iter"":500,""max_leaf_nodes"":31,""min_samples_leaf"":20,""random_state"":20240920}",0,0.0905253519535
1,17,"{""l2_regularization"":1.0,""learning_rate"":0.06,""max_iter"":500,""max_leaf_nodes"":31,""min_samples_leaf"":20,""random_state"":20240920}",1,0.0909822491974
1,17,"{""l2_regularization"":1.0,""learning_rate"":0.06,""max_iter"":500,""max_leaf_nodes"":31,""min_samples_leaf"":20,""random_state"":20240920}",2,0.0848392249047
1,17,"{""l2_regularization"":1.0,""learning_rate"":0.06,""max_iter"":500,""max_leaf_nodes"":31,""min_samples_leaf"":20,""random_state"":20240920}",mean,0.0887822753519
2,0,"{""l2_regularization"":1.0,""learning_rate"":0.06,""max_iter"":500,""max_leaf_nodes"":15,""min_samples_leaf"":20,""random_state"":20240920}",0,0.0912211539059
2,0,"{""l2_regularization"":1.0,""learning_rate"":0.06,""max_iter"":500,""max_leaf_nodes"":15,""min_samples_leaf"":20,""random_state"":20240920}",1,0.0974323009782
2,0,"{""l2_regularization"":1.0,""learning_rate"":0.06,""max_iter"":500,""max_leaf_nodes"":15,""min_samples_leaf"":20,""random_state"":20240920}",2,0.0930490732141
2,0,"{""l2_regularization"":1.0,""learning_rate"":0.06,""max_iter"":500,""max_leaf_nodes"":15,""min_samples_leaf"":20,""random_state"":20240920}",mean,0.0939008426994
2,1,"{""l2_regularization"":0.0,""learning_rate"":0.06,""max_iter"":500,""max_leaf_nodes"":31,""min_samples_leaf"":50,""random_state"":20240920}",0,0.0871308698474
2,1,"{""l2_regularization"":0.0,""learning_rate"":0.06,""max_iter"":500,""max_leaf_nodes"":31,""min_samples_leaf"":50,""random_state"":20240920}",1,0.0895709589973
2,1,"{""l2_regularization"":0.0,""learning_rate"":0.06,""max_iter"":500,""max_leaf_nodes"":31,""min_samples_leaf"":50,""random_state"":20240920}",2,0.0904302171257
2,1,"{""l2_regularization"":0.0,""learning_rate"":0.06,""max_iter"":500,""max_leaf_nodes"":31,""min_samples_leaf"":50,""random_state"":20240920}",mean,0.0890440153234
2,2,"{""l2_regularization"":0.0,""learning_rate"":0.06,""max_iter"":500,""max_leaf_nodes"":15,""min_samples_leaf"":50,""random_state"":20240920}",0,0.0916115579558
2,2,"{""l2_regularization"":0.0,""learning_rate"":0.06,""max_iter"":500,""max_leaf_nodes"":15,""min_samples_leaf"":50,""random_state"":20240920}",1,0.0974982023303
2,2,"{""l2_regularization"":0.0,""learning_rate"":0.06,""max_iter"":500,""max_leaf_nodes"":15,""min_samples_leaf"":50,""random_state"":20240920}",2,0.0901230459816
2,2,"{""l2_regularization"":0.0,""learning_rate"":0.06,""max_iter"":500,""max_leaf_nodes"":15,""min_samples_leaf"":50,""random_state"":20240920}",mean,0.0930776020892
2,3,"{""l2_regularization"":0.0,""learning_rate"":0.1,""max_iter"":500,""max_leaf_nodes"":31,""min_samples_leaf"":50,""random_state"":20240920}",0,0.0891129821896
